Reaction_ID;Module_ID
1786;1
1786;1
2740;1
4779;1
1070;1
1015;1
1061;1
1061;1
1063;1
1512;1
1518;1
658;1
2320;1
1015;2
1061;2
1061;2
1063;2
1512;2
1518;2
658;2
2320;2
431;3
726;3
341;3
658;3
1518;3
1512;3
1061;3
1015;3
1070;3
4780;3
2739;4
2736;4
2035;4
1528;4
1529;4
1056;4
1641;4
1827;4
1049;5
2739;6
2736;6
2035;6
1528;6
1830;7
1641;7
1827;7
1529;7
1056;7
2739;8
2736;8
2035;8
2036;8
351;9
1324;9
267;9
709;9
1700;9
2570;9
7618;9
405;9
432;9
727;9
405;9
408;9
412;9
1082;9
342;9
351;10
1324;10
267;10
709;10
1700;11
2570;11
7618;11
1197;11
405;11
432;11
727;11
405;11
408;11
412;11
2164;11
1082;11
342;11
351;12
1325;12
1900;12
479;12
472;12
342;12
717;13
465;13
717;13
475;13
475;13
366;14
4432;15
3045;15
3158;15
740;15
233;15
286;16
2640;16
1904;16
1896;16
1639;16
248;17
248;17
243;17
243;17
253;18
114;19
93;19
239;20
3313;20
239;20
3313;20
1251;20
355;21
483;22
578;22
480;23
2291;23
2292;23
4198;23
4199;23
4365;23
4475;23
2734;23
2735;23
451;23
480;24
480;24
1773;24
1775;24
480;24
2291;24
1773;24
1775;24
1777;24
3260;24
1286;24
946;24
4405;24
480;25
2291;25
1773;25
1775;25
1771;25
1466;25
258;26
14;27
4672;27
5071;27
4440;27
4441;27
1214;27
14;28
4672;28
5071;28
4440;28
4441;28
1213;28
3968;28
4001;28
4426;28
1090;28
996;29
14;29
4673;29
5069;29
5068;29
5070;29
2199;29
1513;30
4173;30
582;30
945;31
586;32
897;32
897;32
897;32
1826;33
3083;33
3084;33
2413;33
2412;33
3460;33
1714;33
985;34
986;34
1073;34
3509;34
3508;34
2722;34
1715;35
1373;35
694;35
1715;36
1728;36
734;36
734;36
1071;37
4035;37
4037;37
4035;37
4037;37
4640;37
3457;37
3243;37
3013;37
3457;37
3013;37
3012;37
1163;37
256;38
256;38
3595;39
8219;39
261;40
1648;40
713;40
714;40
713;40
259;41
2649;41
3443;41
3443;41
2649;41
2283;41
669;41
669;41
2282;41
149;42
1398;42
1954;42
1086;42
551;42
552;43
490;44
357;45
485;46
485;46
271;47
4371;47
4862;47
1936;47
1939;47
3098;47
4863;47
4390;47
2315;47
715;47
716;47
271;48
4371;48
4862;48
1936;48
1939;48
2204;49
3102;49
3103;49
1939;49
1940;49
2571;49
2488;49
3026;49
1975;49
3026;49
1975;49
715;50
716;50
2313;50
2315;50
3102;50
3103;50
1939;50
1940;50
2571;50
2488;50
3026;50
1975;50
3026;50
1975;50
480;51
2291;51
6977;51
6978;51
6979;51
1776;52
3217;52
1776;53
1287;53
177;54
178;54
1920;54
1401;54
1401;54
4143;54
1402;54
4420;54
7392;54
7393;54
7394;54
7396;54
7396;54
7396;54
177;55
4858;55
192;55
1290;55
177;56
4858;56
192;56
2821;56
751;57
1090;58
1702;58
4097;58
7618;58
4095;58
4095;58
4138;58
2085;58
1360;58
2199;59
4225;59
3174;59
7618;59
3172;59
3172;59
4204;59
4203;59
4203;59
927;59
588;60
585;60
2821;61
1565;61
610;61
611;61
893;62
2619;62
896;63
3105;63
782;64
685;65
1814;66
2701;66
2908;66
4903;66
4904;66
2911;66
3130;66
678;67
678;67
1959;67
1956;67
678;68
678;68
1959;68
1960;68
2668;68
2665;68
4323;68
3889;68
2253;69
1616;69
1615;69
7437;69
4007;69
2194;70
2193;70
2593;70
2596;70
2221;71
2220;71
3918;71
3919;71
1795;72
1731;73
732;73
731;74
2078;74
4884;74
1815;74
3673;74
731;75
1815;75
2080;75
2080;75
2535;75
2533;75
3539;77
3973;77
3953;77
729;78
2521;78
2519;78
3181;78
1364;78
2657;78
2656;78
3868;78
1085;78
1168;79
2914;79
2288;79
2285;79
1167;80
1167;80
3599;82
489;83
489;83
974;84
978;84
2269;84
905;84
1166;85
3288;85
893;86
2466;86
2466;86
1682;87
1682;87
5652;88
565;89
1883;89
1881;89
1072;90
4144;90
4325;90
4463;90
4208;90
4209;90
4591;90
4559;90
4560;90
1127;90
1127;90
1135;91
1083;91
127;91
2017;91
1137;91
124;91
2014;91
1130;92
1230;92
1231;92
332;92
330;92
1857;92
2020;92
2019;92
575;93
1397;93
1993;93
1867;93
1870;93
965;93
158;94
156;94
571;94
573;94
2024;95
2326;95
2093;95
2022;95
2325;95
2100;95
2101;95
2094;95
7917;96
7919;96
7919;96
7920;96
289;97
291;97
502;97
768;98
2060;98
416;98
5332;98
416;98
1819;99
1818;99
883;99
885;99
418;101
420;101
286;102
1384;102
3928;102
1433;102
660;103
3191;103
3192;103
414;104
2705;104
414;104
2705;104
4435;104
4435;104
1805;104
1117;104
2328;105
6513;105
6514;105
2777;105
4567;114
4606;114
4657;114
888;115
5692;115
1951;115
3161;115
806;116
1983;117
1482;117
2555;117
1540;117
5606;117
2454;117
1758;118
1759;118
1761;118
2439;118
5850;118
1904;118
1896;118
1639;118
1431;118
1432;118
1529;118
1526;118
1526;118
1895;118
3254;119
3350;119
3351;119
5176;120
1497;124
1500;125
4017;125
1005;148
1996;156
1994;156
1997;156
1994;156
2360;158
7413;158
4386;159
4386;159
4386;159
1626;159
1624;159
4355;159
1626;159
1624;159
4355;159
1626;159
1624;159
4355;159
1626;159
1624;159
4355;159
4355;159
4355;159
4355;160
4533;160
4355;160
4533;160
4355;160
