KM	kcat
16	0.017
1.46	0.012
29	2.83
19.2	0.217
2.6	0.109
2.6	0.109
20	1.9
19	0.77
10	0.03
2.2	0.025
110	0.23
7.19	297.6
10	0.03
2.2	0.025
110	0.23
7.19	297.6
10	0.03
2.2	0.025
110	0.23
7.19	297.6
0.37	0.037
4.1	0.06
0.13	0.025
1.58	297.6
5.6	5.4
343	0.22
180	4.3
18.1	38.4
11.3	28.3
22	12.8
2.5	0.53
2.5	0.53
759	0.00828
7.9	0.053
19.5	0.027
4.2	0.204
2.6	3.3
48.88	1.4
21000	24
21000	24
700	24
7000	238
360	312
1400	1780
700	24
7000	238
360	312
1400	1780
700	24
7000	238
360	312
1400	1780
700	24
7000	238
360	312
1400	1780
100	121
100	121
100	121
1200	121
3020	0.297
1200	121
3020	0.297
1200	121
3020	0.297
5.8	122
9	32
2000	71
139	4.6
120	1.5
33	3
4.3	0.0035
160	1.65
3	3.3
11.7	5
9.5	7.6
96.5	122
86	32
21	6.08
290	1.14
4.43	5.31
2.8	2.08
4.2	6.7
3.6	5.9
6.48	1.08
2.6	0.3
38	1.47
28	2
290	4
26	9
7.73	5.31
19	6.8
4.4	1.75
9.3	5.6
3.8	5.9
5.93	1.08
8	0.38
15	0.87
27	1.47
74	2
8.5	1
67	9
12	2.7
7300	19
7300	19
11600	0.83
17600	19.9
6	0.25
28000	202
21000	156
200000	14000
360	90
510	17.1
6200	46.8
3750	48.2
2200	210
2200	210
2200	210
4600	21.8
400	566
4600	21.8
400	566
4600	21.8
400	566
210	39
870000	83
1200	44.6
4700	201
106000	4.1
890	1.18
37	1.55
340	12
340	12
1200	0.021
1080	0.0092
5800	47.4
2000	260
2000	260
20000	280
1800	340
20000	280
1800	340
20000	280
1800	340
3020	19.3
198	0.0032
1430	9.1
11000	41
59	41
45.8	5.66
980	0.74
45.8	5.66
980	0.74
2300	1.43
1200	0.917
1400	9.3
9	9.3
1110	7.4
24	22.3
2700	48
210	0.36
22000	0.33
149000	131
31000	45
18000	20
2600	117
64000	113
1600	16
1530	6.4
6200	1.39
760	225
760	225
760	225
760	225
3800	140
260	250
1000	1200
1150	253
320	210
830	500
2100	72
300	0.016
1.2	0.283
2	0.013
3.8	1
1	0.79
3500	830
760	590
130	130
13	0.53
59	284
9	483.3
8	3.47
59	284
9	483.3
8	3.47
59	284
9	483.3
8	3.47
5200	3.69
5200	3.69
5200	3.69
5200	3.69
350	317
350	317
350	317
3300	317
38	92.6
76	410
800	7.6
159	8897
109	494
159	8897
109	494
132	0.91
970	8.7
539	22.3
403	0.91
160	167
96	88
160	167
96	88
160	167
96	88
160	167
96	88
190	115
300	10.8
20	0.84
20	0.84
390	74
140	80
1550	0.5
300	6600
290	255
310	0.64
26	7.3
42	1.2
36	18
41	2.6
2.2	0.97
3.2	13
0.041	8.1
20	1.4
5	18
0.54	282
0.38	0.46
4.7	1.3
140	0.92
350	399
1920	30.33
1000	5.46
3000	424
80	4.4
80	4.4
0.12	0.1
55	0.7
40	0.3
9800	230
6	4.8
5	17.5
45	2.8
70	71.5
3050	2.12
34	1.6
9590	2.09
50	0.65
3050	2.12
34	1.6
9590	2.09
50	0.65
3050	2.12
34	1.6
9590	2.09
50	0.65
168	2.12
23	1.7
43	0.29
101	2.09
100	0.62
100	2.3
2.8	6.08
58.7	0.995
10	3.3
47	0.032
70	0.05
22	0.4
30	0.8
212	0.11
15	0.1
10	0.7
126	0.79
35	0.3
270	40.8
140	18.3
520	40.2
320	11
140	60.8
27	8.26
143.1	0.000117
450	0.38
1000	0.34
445	0.0325
376	0.03
3.5	0.4
3.4	0.095
3.5	0.4
3.4	0.095
1	0.064
1	0.064
11	0.84
22.7	3.7
12	1.48
33.2	1.22
22.7	3.7
29.2	1.82
7	0.2
40	0.0043
600	0.023
18.4	6.56
2560	12.9
85	325
28	1.76
13	1.79
16.9	0.14
58	9320
10.2	0.14
7.4	0.447
135	23
2	0.07
0.6	2.25
1.4	3
206	0.191
2500	238
300	268
71.3	1055
2500	238
300	268
71.3	1055
6000	532
240	1000
98	1260
692	1255
6000	532
240	1000
98	1260
692	1255
160000	280
14400	218
100	875
340	2680
750	150
0.5	2630
5	2633
740	49.3
4500	15.87
510	0.39
4590	46.6
1310	25
3380	25.3
810	215
340	155
1010	38.4
30	483.3
67	370
350	16.3
4900	215
2700	20.3
10800	27.9
14500	25.2
20200	41.3
4300	38.4
510	483.3
814	25.7
1270	159.4
230	140
413	25.7
951	159.4
912	212.9
630	140
2120	12.5
881	14.3
170	74
250	10.5
74	3.4
350	3.9
350	783
350	783
16	0.053
26	0.073
48	0.1
100	147
200	106
193	0.07
380	51
235	8.9
235	8.9
66	8.9
22	3.4
780	4.1
22	130
266	8.57
200	410
20	130
153	7.64
200	217
900	73
1200	0.069
1200	0.069
210	0.069
330	8.4
80	0.00278
80	0.00278
11.1	0.011
13.1	0.013
0.4	0.000075
1	0.0000833
18.9	0.011
20.8	0.013
210	24.4
195	1.49
210	24.4
195	1.49
0.71	36
0.71	36
290	10.8
2.11	2.11
24.5	24.5
9.5	0.482
7.7	0.14
24	0.16
1540	278
290	24
2900	6.85
100	22.1
480	2.22
650	17.7
800	31.3
390	17.5
229	4.203
110	0.212
4.7	0.066
200	2.9
9.4	1.35
3	2.3
590	370
100	9
50.2	2.5
67	3.6
1390	18.8
36	2.6
60000	1
78.9	76.8
8.51	23.5
130	13
240	3.33
960	14
10.6	1.8
240	3.33
960	14
10.6	1.8
240	3.33
960	14
10.6	1.8
5600	16
130	2.25
2600	36
14	0.5
1.3	0.6
2.9	0.000105
8	0.000617
52	0.005
0.27	0.0005
1.4	0.000383
1	0.0211
0.6	0.000133
0.26	0.000505
4.9	0.00373
0.6	0.0272
2.1	0.23
13	0.0267
700	96
1120	5.83
2.7	5.5
3	9
760	54.1
92	3.4
1450	6
114	26
32	16.8
370	48.4
3260	1.4
21.3	0.058
15.8	0.133
26	0.0009
9.3	1
1.1	2.8
4	0.3
40	0.002
1	1.17
1.5	1.08
1.3	0.7
6	1.7
0.2	2.08
1.8	0.6
0.8	0.002
160	5.33
160	5.33
160	5.33
305000	10
68	15
30	87
390	1330
38400	11.9
1000	8.7
110	1570
400	0.683
400	12.6
75	3.13
14	55
640	0.00016
640	0.00016
7.7	4.7
17.4	19.6
1.9	1.2
17	0.0029
19	88
27.6	57.1
3.2	0.0041
5.5	0.01386
6.4	0.01311
17	0.28
20	0.26
34	5.25
34	5.25
78000	230
1100	10.7
700	2.8
8340	12.5
72000	165
8340	12.5
72000	165
30	0.00055
5100	0.5
360	14.2
360	14.2
4200	37.3
4200	37.3
720	933
200	1250
22.3	75.2
22.3	75.2
22.3	75.2
22.3	75.2
70000	280
70000	280
70000	280
70000	280
130000	36.5
1300	21.7
200	26.7
0.3	0.0217
0.64	7.8
640	7.8
4210	0.01
1200	698
1300	854
800	685
17	521
46	2333
47	250
17	68
4550	1503
3050	1040
27.5	0.01
1100	1500
319	1.4
8	12.2
110	0.65
110	0.65
110	0.65
240	1670
8390	1370
10	22
28.1	15.4
590	817
381	260
415	2.08
170	15
1200	1633
1.4	1.9
1300	1.1
11.87	0.037
102.8	0.019
6	266
270	450
146	727
200	780
177	142
140	470
61	301
241	26.7
410	28.5
2.6	6.08
2.1	11.4
3	6.08
0.9	0.4
4	0.02
700	23.3
7	10
9.4	80.5
21.8	74.7
210	971
180	50
175	16
60	0.55
850	16230
62	1130
5600	30.4
2300	38.2
74	750
320	4.9
1800	22
100	9.84
370	5.93
17.04	2.94
606	300000
2840	412000
30	46
13.9	2056
138	59600
10.4	51
65	360
1450	0.93
532	51.2
240	59.2
196	398
390	117
310	145
390	117
310	145
15.4	14.6
1.2	20
16	26
121	22.9
1.8	22
2.2	23
14	3.2
320	18
310	0.3
4.8	20.7
70	5.7
2500	14.6
2700	10
150	8
186	13.4
92.1	0.55
270	0.93
41	2140
30	420
2	5.2
210	94
61	19
29	292
37	8.26
2900	160
70	6.5
68	4.4
177	3.6
110	2.5
91	4.2
1020	4.1
130	207
180	28.7
61	1.4
110	0.48
1700	3.6
72	1167
606	300000
321.9	5.7
177.3	123.1
4720	23.8
540	17
36	1037
88	1305
2840	412000
186	655
138	59600
10.4	51
27	300
240	59.2
123.5	0.94
206	2531
196	2283
140	279.3
10.5	340
330	19.4
330	19
3	2.27
11.4	1.98
350	3.6
1.4	0.00551
2.9	2.2
113	0.058
64	0.118
2000	3.2
220	1.1
0.1	0.3
0.8	1.56
5.1	6.7
1.5	5.4
1	4000
9.59	6.48
600	720
58	1098
60	0.24
104	5100
33	1336
860	4.2
85	3
510	0.14
1300	0.001
5	597
1400	0.0008
35	2280
2720	2111
520	67
230	120
3300	237
160	91.4
520	67
230	120
3300	237
160	91.4
3.3	305
4100	3.4
1600	217
1400	487
2900	518
50	8.3
238	4.12
4100	3.4
1600	217
1400	487
2900	518
50	8.3
238	4.12
6900	33.3
24100	41
8300	30.8
9000	36.3
5300	54.6
18600	4.07
2400	40
5300	54.6
18600	4.07
2400	40
1910	6.02
2200	25
6300	709
750	144
34500	35.9
1460	33.5
2710	15.3
26000	18
5700	489
1700	81.7
69000	11
4100	35.6
1960	1000
2100	51.5
24000	233
4060	29.8
400	0.1
650	4.5
1610	6946
11300	32.4
5320	157.3
1610	6946
11300	32.4
5320	157.3
1170	7659
2400	2.3
15110	234.2
2400	2.3
15110	234.2
31000	58
250000	1.2
750	63.1
19400	4.7
60800	212
4000	6300
42100	3.02
31000	58
250000	1.2
750	63.1
19400	4.7
60800	212
4000	6300
42100	3.02
42000	125
4900	80.5
64000	2600
1300	10.9
15000	140
410	199
3100	167
1110	0.99
1770	0.67
60	936
60	936
60	936
60	936
8800	33.8
8800	33.8
23	106
160	2.1
93	0.78
8	2.6
8.54	1.46
18	34
1280	8.1
650	9
380	32
295	0.79
5.2	5.49
164	0.84
2.3	2.3
3.82	1.9
790	26.3
5900	62
1038	0.029
550	0.358
700	442
5	0.06
239	0.043
363	0.0056
970	39.4
1.3	2.6
1300	2.1
430	4
23	0.25
430	4
23	0.25
3.4	18.7
111	6666
64.3	312
2.3	4.3
111	6666
64.3	312
2.3	4.3
15	10
1060	1.06
6	0.85
2.7	1.5
20	14
109	156
100	110
110	41
3600	2.5
1000	4.7
58	0.0128
2300	1373
6600	1400
43800	38.7
68600	1.51
31200	305
22700	2668
6500	0.00217
2400	2970
8	0.6
60000	5.3
13	39
5	50
4.6	48
16	63
18	56.5
16	63
155800	2.2
12	25
8.9	2.1
12000	12
800	3800
1600	0.0555
118	0.93
22	85
32	76
100	177
40	110
1240	154
143	0.6
650	1.4
600	9.2
5900	2.4
80000	8.9
15000	19
2100	60.7
1500	16.4
680	6
15000	10.2
18	150
117500	71.7
2400	6.2
12	1.492
26	4.31
59	420
46	6.6
113	29
33	782
155	1010
120	1570
0.4	14
2.1	55
11	48
2.3	34.3
15.3	113
57	890
1127	757
19	9.33
38.6	210
28	260
0.5	18
97	110
80	650
65	2200
120	2650
9	26
32	280
75	410
38	600
29.5	0.4
23	770
16	10
160	1.2
250	0.533
63	473
2.9	41
25	4
800	110
74	33
20	3
710	0.2
10000	830
13	10.92
10	0.1
12	97
370	317
19	4.9
31.6	0.117
600	10.7
6000	8
50	250
50	250
13000	106.7
39100	479
180000	163.3
200000	3950
15	11
11000	0.015
300	231
1070	220
15000	60.2
9100	54.1
1330	0.246
2000	750
320	3.2
160	2.6
240	0.151
1400	3
600	8
220	31
310	0.56
39	1.27
1310	0.27
650	1330
1170	170
14.7	18.5
0.9	8.6
21	466
760	24.9
640	5.7
4.2	0.0035
4.2	0.0035
0.75	6.4
0.9	9.9
1000	770
300	0.15
2500	26
54	0.5
900	0.13
1068	0.00131
920	14400
1800	0.001
690	19.4
31.2	260
67	208
17000	39.6
1700	455
5900	5.8
1100	44.2
510	153
130	8
339	97.5
3400	146
1.8	155
3.4	187
130	76
39	3693
5.4	1700
34	1600
19	385
113	744
59	12.1
92	125
62	6290
83	343.9
2.8	916
1	0.21
97	860
97	860
27	2841
800	735
360	198
110	5.7
67	117
22.3	11.4
40	7.92
114	64.8
63	9.2
16.9	0.11
340	1.98
65	20
520	1.4
250	4.9
94	1.8
204	6.96
5	0.0086
0.028	10.25
2500	13.8
46	0.0051
1.9	3.6
1100	10.6
2100	0.16
1000	56.6
6600	0.000167
0.4	12
0.18	9
500	11
2.1	49
0.5	2.8
0.7	3.3
11.7	6.8
0.3	15
0.6	18
530	9
154	140
0.66	6
130	0.023
12	250
100	3830
650	0.33
250	0.25
650	0.33
360	0.093
300	5
600	25
89.1	0.00525
59	0.13
7	15.5
20	20
43	5.7
14	13
120	25
19	5.5
7.9	0.48
7	5.4
12	70
10040	2.21
0.019	0.000333
11000	1.2
510	0.0078
620	0.017
13.7	0.00633
9	0.8
10	1.7
11	2.7
13	3.5
32	6.2
148	8.8
0.8	9.9
8	0.2
9	0.8
10	1.7
11	2.7
13	3.5
32	6.2
148	8.8
2.5	0.014
1	0.032
2.7	0.013
0.9	0.015
3.4	0.13
37	1.75
46	0.024
7.8	3.1
9	0.000233
130	2.72
62	50
65	17.4
30	16
13	10
0.71	1.11
5.7	42
250	1.05
40	0.003
9	1
15	0.3
2.7	5
49	27.9
149	11
20	3
1250	3
1900	1.7
5	105
150	0.00167
680	113
1100	486
240	40
900	43.6
680	113
1100	486
240	40
900	43.6
15000	54
2200	7500
520	3.5
8200	1560
1300	66.67
440	284
270	320
520	28
8.7	47.3
219	0.65
220	0.65
47	0.006
400	15
490	9.4
370	15.4
560	77.8
5000	6.9
110	9.9
390	15.65
76	40
1	8
1.7	8.1
16.6	0.75
3.2	15.6
13.4	24.6
1.3	6.7
4.8	20.7
920	0.7
35	6
91	9.1
58	8.8
49	0.67
100	69
50	7.2
120	17.8
120	17.8
52	13.9
2420	9.3
2420	9.3
100	15.6
300	6.9
120	2.7
8.6	0.16
51	1.69
34	4.4
11	3.4
167	3.71
246	13.4
80	7.3
30	5.4
29	5.8
52	0.25
22	1.59
54.3	2.65
59	0.83
36	1.95
31	0.78
9.3	2.6
3.3	1.2
20.5	23.1
140	9.08
44.7	3.5
20.5	23.1
140	9.08
44.7	3.5
130	0.07
1.2	7.2
0.047	4.3
0.34	2.2
2.6	3.15
0.045	0.033
0.09	0.025
0.025	0.095
540	9.67
310	6
402	53
135	62
83	22
110	1.7
95	0.0075
366	0.6
400	55
590	90
20	0.98
6.6	68
3.2	10.2
649	110
358	135
5400	15
75	5
56	11.4
640	68
810	116
100	2.3
458	0.006
11500	1700
170	10.5
140	14.2
13	59.7
2.8	0.029
2.4	2.1
51.9	16.7
10.7	5.2
8.9	33
45.9	1.63
8.8	5.47
55.2	4.02
5100	42.2
9.5	10.2
0.84	1.53
72.8	5.03
9.2	10.3
77.7	5.28
16.8	10.9
65.6	7.87
40.1	7.5
6	64.5
16.7	40
51	46
4.8	49.3
2.2	0.67
240	0.12
880	2
16000	2.8
54700	0.36
200	38.3
0.065	27.3
1300	2300
48	66.9
2310	159
1950	62.2
188	5.24
1140	1.38
510	8.43
3000	1.9
22000	1.8
2800	16.7
4900	16
2500	10
220000	11
180000	9
44.8	0.127
8	158
61	8.8
5.71	0.58
12.3	0.25
38	383
5.71	0.58
12.3	0.25
38	383
24	19
31000	100
28	1.7
1.97	0.215
9.7	0.82
240	1.8
1000	130000
8800	16700
17000	240000
2700	24000
7900	26000
23800	18600
800	71900
12600	58900
21720	25000
16000	49000
11040	55000
14500	62900
10410	66700
8720	89000
23260	302800
19700	29500
37100	45000
28700	44600
600	51.7
250	690
430	219
810	720
380	730
2380	540
590	25.2
1400	460
5000	290
3.5	3.3
3.5	3.3
540	75.8
970	11.5
330	8.3
24	5.2
100	124
590	2
30	60
29.1	2.1
10	138
20	0.06
980	8.2
1600	1.9
1890	6
520	8.7
140	4
3700	3.8
20	0.06
980	8.2
1600	1.9
1890	6
520	8.7
140	4
3700	3.8
60	5.4
18	5.44
94	10.1
25	10
60	5.4
18	5.44
94	10.1
25	10
2000	39
3600	19.7
2130	3.67
3500	16.8
2000	39
3600	19.7
2130	3.67
3500	16.8
2000	39
3600	19.7
2130	3.67
3500	16.8
2000	39
3600	19.7
2130	3.67
3500	16.8
6110	3.13
1000	12.7
300	21.5
1000	12.7
300	21.5
180	337
1100	860
1100	860
1570	10.4
450	760
60	20
67	3
101	6.39
60	20
67	3
101	6.39
203	3.9
330	3.6
0.3	3.69
280	5
3.5	0.8
560	1932
22	12.3
110	70
630	213
330	15
5	500
20	5.83
1010	30
0.33	4.6
116	2860
288	6.4
330	4.5
335000	7
180	19.8
86	7.3
10.7	2.3
6400	8
800	0.03
680	0.16
2440	0.04
430	0.5
3050	3.2
800	6.1
1580	4
10080	4.9
1720	1.1
22	70
60000	51
85	280
30	175
11.8	3.72
210	0.12
114	5.3
58	9.8
29	1.6
480	120
1200	7.3
200	220
620	179
1.4	19
0.0135	0.015
1.3	0.0173
2.3	0.03
8.7	0.55
0.8	0.02
8.4	2.5
11	0.032
1.7	0.033
6	0.000167
6	0.000167
6	0.000167
3	0.000177
47.4	0.012
3.5	0.04
0.062	6.2
3	0.02
2.9	0.03
0.075	0.0031
0.062	6.2
3	0.02
2.9	0.03
0.075	0.0031
3.4	4.4
11	0.016
25	0.24
320	1.9
1610	89
2100	87
15000	40
580	240
3900	86
70000	301
70000	301
23	195
210	25
1.9	30
13.6	52.2
9000	0.166
3800	4
2670	436
4800	544
9000	0.166
3800	4
2670	436
4800	544
131	6.08
100	15.7
190	13.1
16	27.7
45	1.96
42.8	65
144	0.588
183	1.6
126	1.53
161	3.3
2330	9.8
615	0.53
67.7	0.93
44	1.3
432	1.44
34	2.9
760	2.9
760	2.9
1.77	1.74
3900	0.018
7.4	0.015
1.4	1.3
72	0.65
7	0.002
4000	4.5
2750	0.4
3400	0.67
2750	0.4
3400	0.67
2750	0.4
3400	0.67
400	1.9
400	1.9
49	1360
130	1130
140	1180
530	1820
16	271
210	983
28	204
340	11.4
29	306
380	1.5
140	6
900	48.6
920	25.39
700	6.2
3580	1.11
610	1.82
900	48.6
920	25.39
700	6.2
3580	1.11
610	1.82
31.5	1.41
1400	0.75
300	72
250	6
9900	46
1.4	0.03
32	3.6
40	2.2
31	1.51
950	34
94	15.5
11.4	0.00045
49.8	28.7
9	24.1
8	0.483
1.4	0.068
70	0.018
11	0.267
28	0.073
9.4	0.055
1.9	0.068
290	27.6
1049	70.92
100000	632
250	8
304	7.617
500	2.6
400	63.3
179000	2314
73500	3272
1800	24.8
700	70
6200	37.9
1200	0.41
4600	8.5
740	1.05
3740	1.63
330	69
3700	17.7
3300	0.21
2100	43.33
14	0.56
250	0.41
63	0.2
126000	0.49
260	68
240	15
200	3.9
550	0.056
1000	1.8
770	2
210	3.3
360	67
166	0.1465
3800	3.8
14500	14.5
770	980
58700	14.9
159000	42.9
70	0.59
36	0.35
4000	4
4100	0.69
185000	14.8
8000	0.028
14500	14.5
10800	1.41
95400	5.22
17000	16.7
400	500
340	480
810	514
700	526
548	650
620	447
540	467
15000	1300
200	870
1200	18
90	33
780	73.95
55	11
140	960
225	760
69	6
220	64.8
130	128
500	12.9
784	290.1
40	21
54000	4900
50000	2600
60	22.4
47.1	36.5
47	19.4
720	24
137	62300
1087	82.3
1070	247.9
13800	63.8
11300	32.5
600	7.1
26	0.33
2200	7.9
360	3.4
600	7.1
26	0.33
2200	7.9
360	3.4
144	1950
55.5	446
4.5	0.041
7.12	0.127
4.5	0.041
7.12	0.127
40	36.7
368	464
970	430
1200	1080
1100	1000
7600	800
1300	367
1100	267
470	4300
1030	9000
1130	6900
1270	16700
1400	6400
84	68330
190	6000
3800	4400
380	4183
3460	1470
450	4500
970	1666
530	4833
780	7666
63000	34.1
369000	207
38200	15.88
39700	23.65
43800	31.03
142000	113.6
48000	33.15
46200	28.55
47500	24.97
146800	16.3
225000	2.32
210000	19.9
142000	50
290000	24.9
1900000	25.3
713000	26.3
160000	5.27
83000	30.72
170000	1.67
170000	1.67
3440	46.6
2250	184
15000	8.6
6660	230
4800	17.3
2900	4.15
8000	7.7
3100	2100
630	3440
3700	120
1170	320
17000	52000
1000	47
15000	39530
121	20
2500	0.076
1180	1.38
9000	19.4
121	20
2500	0.076
1180	1.38
9000	19.4
18.6	3330
500	8.4
1700	26
11700	42
50	5.2
50	2.4
350	255
300	19
640	242
610	157
570	15
1200	218
4890	68
11000	1717
7	39
4.7	32
5	60
3.2	69
0.39	13.5
0.73	38.5
1.03	130
0.28	3.7
4900	285
6100	0.45
72	1.89
130	290
150	320
310	410
31	38
20	33
61	1.4
27.9	4890
27.9	4890
5.6	17.9
4.8	0.69
64	1.6
15300	191
640	66.67
32	128
32.8	41
500	21.7
2.3	0.95
160	50
160	50
7.3	2.45
22	26.7
21	0.017
910	0.00142
220	530
740	490
650	384
560	530
830	57
500	45
580	82
270	434
106	6.4
66	14
110	199
222.8	126.8
222.8	126.8
4.5	17
49	177
14.7	64.7
14.6	17.1
2500	173
387	4.13
200	10.01
16	3.9
54	4.4
156.9	134.9
1.6	34
50	7.9
45	6.3
2.3	0.01
25	0.11
46	0.47
67	0.95
14	2.88
195	2.93
192	0.35
4.5	0.72
5	1.8
580	5.8
140	5.4
96	48
3100	30
300	41.4
390	64
226	366000
304	38.87
67	46
81	47
74	41
180	56
54	3
549	94140
43	5.5
54300	10430
0.148	0.11
2.441	0.78
0.87	0.18
0.89	0.1
57	38.2
176	98.5
42400	97.8
15.4	0.25
24.2	1.98
15.4	0.25
24.2	1.98
22.6	15.6
130	222000
81.3	24.7
31	186
1730	125
130	222000
81.3	24.7
31	186
1730	125
1240	8.8
99	14.4
320	3840
410	120
424	1.4
99	108000
48.7	3.2
11	27.8
6	35400
26	214
97	534000
150	0.92
320	1415
10.3	382
43	2300
7.5	48.33
14.3	38.33
21	59.9
10	37.4
312	2.2
78.1	10.3
142.9	171000
173	60.7
173	60.7
20	63.7
20	63.7
3	0.75
0.4	0.5
1.2	0.4
13.7	0.033
16.9	0.035
8.73	0.0308
0.23	0.00117
70	5.29
3.3	0.74
5.3	12
34	45
0.3	1.49
12	4.6
27	7.7
4800	0.046
0.35	6.08
88	1.1
65	22
7.4	1.1
0.73	0.9
1.5	24.5
1.1	1
1.3	1.37
0.18	0.9
0.31	6
267	90
180	37
201	90
90	3.8
0.07	0.21
0.05	0.7
280	3.6
725	0.79
228	0.094
360	3.9
380	14.5
112	1.48
112.3	1.81
52	171
1.5	6.1
130	2
5.8	0.82
8.3	0.134
6	1.4
1.3	3.5
1.1	1.28
4.1	37.5
1.5	2.9
0.73	9.6
1.4	0.059
0.61	0.5
0.28	80.4
1.25	6
5	18
2.1	3.1
12	3.4
250	5.1
23.2	40.9
1300	0.57
2.6	1.8
92	5.8
230	0.34
6.6	0.0143
3.7	1.7
2	0.34
83	84
1.5	0.2
47	1.5
4.3	13.9
1.5	6.7
0.2	0.2
7900	5.6
85	0.033
7900	5.6
85	0.033
7900	5.6
18	0.41
1000	6.85
4.4	42
2.2	2.4
0.15	11
0.4	1.3
3.2	6
0.66	0.29
1000	6.85
4.4	42
2.2	2.4
0.15	11
0.4	1.3
3.2	6
0.66	0.29
14.3	0.52
4	3.5
11	0.16
1.3	3.9
14.3	0.52
4	3.5
11	0.16
1.3	3.9
18	0.22
40	1.2
0.104	1.7
18	0.22
40	1.2
0.104	1.7
0.54	0.062
0.71	0.58
0.05	0.55
0.11	1.1
0.58	1.48
2.9	0.473
3.3	0.007
0.14	0.042
80	0.55
0.15	0.133
0.72	0.027
0.2	0.0117
1100	0.025
250	70
290	14
180	80
110	5.6
60	15
170	34
27	0.09
12	210
260	3.4
160	32
50	60
80	19
14140	0.239
1.4	6.9
220	142
338	4.4
29	100
7.2	4.8
20.3	10.3
90	0.04
9.7	2.2
1.5	6
0.35	2.5
0.64	2.9
1.16	2.46
0.9	2.3
1.3	0.11
170	2.2
56	3
0.45	0.016
110	2.8
114	2.62
10400	0.04
260	3.2
0.2	3.3
900	26
910	0.28
3.5	0.41
16.4	0.337
1	17
1.9	26
0.05	0.32
0.32	1.8
450	0.0045
2500	2.9
5.3	3.34
0.48	0.055
2.2	0.82
740	120
560	34
500	40
30	130
9	40
0.34	2.02
34	1.71
0.14	0.42
76	2.2
0.06	0.092
830	0.014
2	0.51
0.03	7.2
770	0.022
0.45	0.07
3.7	0.036
0.83	0.05
0.79	0.1
2.9	0.19
77.1	1.7
2900	13.2
3300	0.7
77.1	1.7
2900	13.2
3300	0.7
77.1	1.7
2900	13.2
3300	0.7
77.1	1.7
2900	13.2
3300	0.7
1700	21.2
1700	21.2
3900	9.1
36500	46.3
3900	9.1
36500	46.3
480	42.9
480	42.9
120	60.5
120	60.5
5	23
5	23
7.7	22
7.7	22
1400	20
1400	20
60	25
60	25
2800	29
900	70.9
22.1	201
477	82
477	82
61	203
61	203
396	182
396	182
18	73
18	73
25	157
57	34
650	1.5
330	1.1
57	34
650	1.5
330	1.1
215	42
690	2.4
215	42
690	2.4
254	79
254	79
20	33
260	1.8
80	1.2
120	5.6
20	33
260	1.8
80	1.2
120	5.6
11	433
26.8	2.62
304	2.62
37	30
290	21.7
60	40
480	42.9
150	21.7
45	40
120	60.5
308	54
308	54
85	39
85	39
14	34
200	6
200	6
200	6
200	6
1500	42
7424	4.2
1070	28.6
66	2.8
480	8.7
66	2.8
480	8.7
44600	5.94
1750	1.4
310	1.4
800	3.4
270	1.01
1450	1.4
130	3.4
44	6.08
870	8.2
42000	6.8
250	22.4
480	8.2
8500	10190
5300	24.3
270	8.2
120	10190
70	7350
37	13
57	12.1
530	25.5
913	13
90	36.3
0.87	1.9
38000	17
1130	31.2
1890	1.9
125	9
125	9
76	1
10	3.33
165	0.94
2.5	0.79
2150	9.5
2790	11.3
87	6.08
460	6.08
9	5.4
18.4	1.1
1800	1.1
23	1.1
7170	44.2
42	7
20	2.3
81	1.23
160	16.68
0.3	0.44
0.3	0.44
5300	6.4
472	0.43
472	0.43
16.8	0.43
16.8	0.43
180	1.1
260	2.94
80	1.7
180	1.1
260	2.94
80	1.7
1700	1.8
1700	1.8
680	1.05
850	2.94
1300	1.7
680	1.05
850	2.94
1300	1.7
690	6.08
1670	6
690	6.08
1670	6
430	8
50	6.8
5	4.04
44	4.79
2140	6.08
1660	2500
430	8
50	6.8
5	4.04
44	4.79
2140	6.08
1660	2500
111000	5.1
111000	5.1
170	9.4
130	2.13
114	2660
170	9.4
130	2.13
114	2660
206.8	6.1
0.95	1.3
206.8	6.1
117	0.59
2.7	0.13
56	0.037
52	0.155
37	11.6
60	8
34	10.1
58	11.8
0.2	0.192
37	11.6
60	8
34	10.1
58	11.8
0.2	0.192
70	8
45	4
74	4
788	31.7
1030	30.6
9	2.94
1.2	0.0003
0.6	0.03
	
5400000	850000
