Reaction_ID;Organism_ID;KM_muM;kcat_s_1
939;7;0.075;10
939;17;35;0.95
939;96;0.74;13.5
939;115;44.4;1.24
939;543;0.7;20.5
939;1054;80;3.14
939;1902;1.8;123
939;5499;2.4;7
937;7;7;1.08
940;7;7;1.08
2235;7;7;1.08
2236;7;7;1.08
715;9;460;18.8
562;554;19.8;652
5051;5;71;1.6
7168;6;17;23.5
1224;96;28;160
368;5428;960;47.78
368;5428;40100;50.08
5705;5;36.8;0.7
5705;6;8;0.517
5705;113;36;0.0083
5705;2797;23.5;0.763
5705;2997;64800;559.9
5706;6;19;1.31
5706;6;31;0.433
5706;6;32;1.25
5706;6;14;1.05
5706;541;47.5;34
5706;2797;24.2;0.353
5705;5;39.6;2.7
5705;988;20;8
5705;2797;9.2;0.768
5705;2997;25000;570.2
5705;3306;2.7;1.7
5705;272;14200;54.38
5706;5;39.6;2.7
5706;988;20;8
5706;2797;9.2;0.768
5706;2997;25000;570.2
5706;3306;2.7;1.7
5706;272;14200;54.38
5707;109;550;70
5707;541;21;69.5
5707;5510;32;62
5707;5510;11;6.7
1812;1988;3.5;0.23
7354;7;4.7;280
7354;7;9;17
7355;7;135;20
1793;7;17;200
1794;7;17;200
3899;7;2.1;15
3899;7;1.1;17
3899;9;66;684
3899;4;2;2
4433;7;0.13;21.4
4433;96;5400000;90
4433;96;0.2;40
4433;96;0.32;200
100;8;13;400
100;270;12;600
2163;9;31;550
95;436;4.6;200
95;761;7.8;119
95;761;9.6;170
95;761;17.8;128
2559;6;70;151
2559;6;7.65;258
2559;5663;17;120
2560;6;70;151
2560;6;7.65;258
2560;5663;17;120
794;111;8;1.8
796;13;13;1400
4303;8;21;2.5
7605;6;36;0.01
280;21;6;8
280;1030;49;1478
280;1030;53;1046
280;1030;36;392
280;1030;68;219
280;1030;220;71
280;1661;620;320
280;2304;11;144
280;5203;1.3;172
783;21;6;8
783;1030;49;1478
783;1030;53;1046
783;1030;36;392
783;1030;68;219
783;1030;220;71
783;1661;620;320
783;2304;11;144
783;5203;1.3;172
784;21;6;8
784;1030;49;1478
784;1030;53;1046
784;1030;36;392
784;1030;68;219
784;1030;220;71
784;1661;620;320
784;2304;11;144
784;5203;1.3;172
785;21;6;8
785;1030;49;1478
785;1030;53;1046
785;1030;36;392
785;1030;68;219
785;1030;220;71
785;1661;620;320
785;2304;11;144
785;5203;1.3;172
791;986;50;80
791;1905;690;1090
798;6;1.9;455
798;396;79;145
798;2304;112;58
1106;6;1.9;455
1106;396;79;145
1106;2304;112;58
1698;7;2250;649
1698;115;870;337
1698;5853;370;88
94;1393;1120;38
94;229;55.5;32.5
115;9;32.3;900
115;1393;240;367
115;229;52.6;37.5
94;6;61;733.3
94;7;65;210
94;7;19;48.3
94;7;72;165
94;115;95;120
115;6;61;733.3
115;7;65;210
115;7;19;48.3
115;7;72;165
115;115;95;120
3913;113;28;3.6
3914;113;0.44;0.0087
2016;35;1.7;0.61
2016;3;173;4.99
2016;1401;17;19.2
2016;3;141;5.8
2016;4;32;37
3821;546;17;6.33
8356;546;17;6.33
8357;546;17;6.33
3821;7;500;20.8
3821;110;31;283
3821;345;36;179
3821;546;24;108
91;125;1;27
7175;125;3;8
5715;113;113;68.76
5716;113;113;68.76
5717;17;495;8.4
5717;17;11.2;11.3
5717;113;0.57;0.153
5717;761;50;0.176
5717;926;2.5;3.4
5717;1099;12.2;56
7176;926;2.5;3.4
7608;6;3900;6.9
859;661;200;9.1
859;16;4;3.65
3600;16;4;3.65
861;6;10;0.2
861;1657;50;0.19
31;13;1040;1070
31;128;0.223;0.000459
31;2000;5770;1445
2670;6;3900;16300
2670;6;3500;11000
2670;13;13000;125000
2670;113;5180;10100
2670;396;5160;3000
2670;808;4100;3500
2670;989;36000;850000
2670;2325;70000;217000
2670;2326;1930;23300
2670;2328;170000;29000
2670;2338;35500;360000
2670;229;75000;255000
11;1600;55;252
11;1600;58;237
11;1674;29.4;230
11;1836;4.5;225
11;2067;6.4;272.4
11;2232;6.7;373
11;1600;53.7;125
11;1600;83;290
11;1600;90;256
11;1674;14;230
11;1836;17;150
11;2067;63;304.8
11;2199;44.7;161
11;2221;51.88;0.22
11;2232;35.2;479.7
19;352;0.033;483
19;2475;341;0.683
5721;2677;260;1800
5721;2682;15800;960
5721;2683;215;7550
3562;1653;1.8;0.61
7207;7;2.2;0.00117
7207;7;3.9;0.0153
3851;128;8.4;0.0378
731;713;2100;42
731;713;3700;0.04
731;727;4140;1120
731;1910;900;84.85
731;3426;800;107
731;3435;1930000;478
731;3447;36000;90
731;3455;8100;880
731;3469;770;1.8
2078;713;2100;42
2078;713;3700;0.04
2078;727;4140;1120
2078;1910;900;84.85
2078;3426;800;107
2078;3435;1930000;478
2078;3447;36000;90
2078;3455;8100;880
2078;3469;770;1.8
2950;111;6430;1450
3783;7;1.7;0.00283
275;128;355;100000
2807;6;5;13.5
2807;1086;35;9
7219;124;590;3.7
8209;124;590;3.7
8210;124;590;3.7
1768;3;29;24.9
1768;3;32;31
1768;7;8.8;0.99
1768;128;0.3;15
1768;3785;85;118
1769;7;8.8;18.3
1769;128;88;5.25
1195;109;570;35.4
1195;111;7.4;560
1195;111;3.1;23.2
1195;113;4.1;50.6
1195;1557;19.5;258
1195;1083;800;7.2
5751;4303;300;14400
5752;135;68;3.58
5752;4303;300;14400
5752;34;12200;0.33
5752;34;9200;0.14
7229;4671;16;387
7243;406;2800;1.4
945;382;700;5
945;856;220;5.85
945;856;430;8.95
945;6;15;5
945;7;4.1;0.04
945;1082;890;1.3
1221;6;67.7;14.4
1221;6;88.1;18.4
4125;6;67.7;14.4
4125;6;88.1;18.4
1216;113;240;0.783
1641;9;400;56.7
1641;1091;2750;8.4
6863;9;400;56.7
6863;1091;2750;8.4
8575;1597;56;4.9
1827;1597;13;6.44
8575;1597;13;6.44
230;230;162.1;574.5
230;4256;89;87.5
230;4256;70;81.3
230;4256;65;5190
921;230;162.1;574.5
921;4256;89;87.5
921;4256;70;81.3
921;4256;65;5190
230;230;129;1927
230;4256;170;68.5
230;4256;96;5190
238;0;6.4;29.5
927;0;6.4;29.5
1177;0;6.4;29.5
238;1037;24;465
238;4332;3.8;40.1
209;227;22;2.4
1776;583;140;1.9
1776;241;850;31
1777;6;640;5.23
212;6;2050;11
6987;6;24000;3.8
5876;3262;10;0.735
829;122;10;7.8
829;122;150;7.8
351;6;700;81
351;192;0.67;9.8
351;4630;12;22
351;2512;12.3;8.8
351;96;5.9;167
351;2512;4.3;8.8
931;12;0.63;23
931;12;1.7;23
472;74;88;26.7
472;6;21;48.1
1978;118;43;0.415
1213;113;57;7.6
1213;234;16;2.2
1213;113;12;3.5
1213;113;1.7;3.2
1213;234;279;2.4
1821;540;570;0.001
1821;7458;850;52
2111;540;570;0.001
2111;7458;850;52
1555;1872;9.9;49.4
1555;1872;6.7;43.5
5140;31;125000;28.3
5140;180;6600;2272
5140;1373;11900;0.0039
5140;1373;11400;1
806;285;22300;39.5
7256;285;22300;39.5
952;557;970;12.2
952;583;690;8
5326;8049;3400;49
5326;8049;1900;42
7265;1674;4100;16
7265;1820;2800;10
7265;1820;1600;14.1
7265;1674;40000;16.8
7265;1820;39000;10
7265;1820;31000;10.3
7265;1820;35000;14.1
6808;452;66;89.6
1969;128;14;158
2147;128;14;158
1863;7;30;110
1863;128;21;127
2748;7;30;110
2748;128;21;127
190;345;25;17.9
190;3875;143;2.8
1229;345;25;17.9
1229;3875;143;2.8
4378;345;25;17.9
4378;3875;143;2.8
190;6;20;9.33
190;3875;4.2;2.8
1229;7;4.5;25.5
1229;140;4.85;0.21
1229;140;3.26;1.43
1229;345;10;12.1
1229;1055;2.1;5
1229;3875;16;76.7
1229;2455;3.6;0.0024
1229;2455;4.2;0.0033
1229;2455;3.2;0.0027
1132;140;3.88;0.38
1132;140;7.02;0.83
1132;140;4.83;1.38
1132;1055;3.7;2.6
1132;2455;3.3;7.97
1132;2455;2.7;15.9
2142;7;300;0.062
2142;115;261;2.9
2142;140;101.2;0.68
2142;140;95;2.2
966;109;159;5.1
8231;115;14.3;1.3
1870;115;28.2;3.2
1271;4;920;0.02
1271;7;0.005;0.00767
1071;116;18.4;2.7
1073;9;1.6;2.9
1073;35;0.04;4.2
1073;35;0.16;4.2
1073;35;2;0.014
1073;35;3.2;0.067
1073;35;3.5;0.105
1073;35;5;0.4
1229;6;139;112
2142;6;139;112
1229;6;4.3;112
1229;109;281;0.03
2142;6;30.5;150
2142;109;2.2;11
2142;345;7.1;3.5
3789;6;0.1;1.21
3789;6;0.57;7.57
3789;31;0.38;0.011
1658;7;0.716;0.45
177;344;288;0.93
3460;21;5.6;5.4
3460;112;343;0.22
2508;6;100;121
2508;6;1200;121
2508;469;3020;0.297
3254;6;4.43;5.31
3254;108;2.8;2.08
3254;108;4.2;6.7
3254;234;3.6;5.9
3254;469;6.48;1.08
3254;469;2.6;0.3
3254;124;38;1.47
3254;124;28;2
3254;8897;290;4
3254;8897;26;9
3254;6;7.73;5.31
3254;6;19;6.8
3254;108;4.4;1.75
3254;108;9.3;5.6
3254;234;3.8;5.9
3254;469;5.93;1.08
3254;124;8;0.38
3254;124;15;0.87
3254;124;27;1.47
3254;124;74;2
3254;2300;8.5;1
3254;8897;67;9
3254;947;12;2.7
1804;2303;7300;19
4435;2303;7300;19
1804;947;11600;0.83
1804;2303;17600;19.9
372;786;6200;46.8
372;786;3750;48.2
694;8;2200;210
734;8;2200;210
7396;546;4600;21.8
7396;8;400;566
768;129;340;12
1344;1086;20000;280
1344;1086;1800;340
1712;158;11000;41
1712;158;59;41
2772;6;45.8;5.66
2772;5740;980;0.74
2773;6;45.8;5.66
2773;5740;980;0.74
4152;230;1400;9.3
4152;230;9;9.3
1939;5;24;22.3
369;7;210;0.36
369;7;22000;0.33
7396;136;760;225
1731;6;3800;140
1375;5;760;590
2324;241;140;0.92
1011;6;6;4.8
1011;239;5;17.5
315;352;6000;532
315;855;240;1000
315;4256;98;1260
315;4256;692;1255
1353;352;6000;532
1353;855;240;1000
1353;4256;98;1260
1353;4256;692;1255
315;855;100;875
315;4256;340;2680
1512;7;0.5;2630
1512;7;5;2633
1881;7;30;483.3
1881;11;67;370
1881;7;510;483.3
554;954;230;140
554;954;630;140
2184;6;250;10.5
3245;112;350;3.9
127;7;350;783
1547;7;350;783
161;3815;0.4;0.000075
529;11760;0.71;36
4929;11760;0.71;36
529;17;24.5;24.5
885;1377;2900;6.85
885;469;100;22.1
2328;679;9.4;1.35
856;135;60000;1
8057;397;26;0.0009
206;19;30;87
199;136;38400;11.9
199;136;1000;8.7
199;136;400;12.6
410;96;720;933
410;96;200;1250
393;212;22.3;75.2
1179;212;22.3;75.2
1359;212;22.3;75.2
7832;212;70000;280
1359;212;130000;36.5
1323;170;200;26.7
1241;7;1200;698
1241;7;1300;854
1241;7;800;685
1241;35;17;521
2933;110;4550;1503
2992;158;319;1.4
1126;7;1800;22
191;4582;1.4;0.00551
2108;136;520;67
2108;2543;230;120
2108;12498;3300;237
2108;12502;160;91.4
1790;1598;4100;3.4
1790;5116;1600;217
1790;5116;1400;487
1790;5116;2900;518
1790;14999;50;8.3
1790;14999;238;4.12
3634;256;1610;6946
3634;256;11300;32.4
3634;6205;5320;157.3
5549;256;2400;2.3
5549;6205;15110;234.2
1982;583;60;936
4320;583;60;936
192;7;111;6666
192;115;64.3;312
192;4440;2.3;4.3
4936;7;111;6666
4936;115;64.3;312
4936;4440;2.3;4.3
5551;17124;43800;38.7
4318;6;33;782
4318;6;155;1010
4318;6;120;1570
4318;6;0.4;14
4318;6;2.1;55
4318;6;11;48
4318;20;2.3;34.3
4318;21;15.3;113
4318;21;57;890
4318;21;1127;757
4318;113;19;9.33
4318;135;38.6;210
4318;363;28;260
4318;363;0.5;18
4318;366;97;110
4318;404;80;650
4318;587;65;2200
4318;1369;120;2650
4318;1591;9;26
4318;1789;32;280
